ts,occ,scenario,rep_num
991.8281196837816,25.0,base_r3s4i18s2,1
992.086435983596,24.0,base_r3s4i18s2,1
992.086435983596,25.0,base_r3s4i18s2,1
992.7314379691187,24.0,base_r3s4i18s2,1
992.7314379691187,25.0,base_r3s4i18s2,1
994.9456942884856,24.0,base_r3s4i18s2,1
994.9456942884856,25.0,base_r3s4i18s2,1
995.7929751205539,24.0,base_r3s4i18s2,1
995.7929751205539,25.0,base_r3s4i18s2,1
996.1060966975529,24.0,base_r3s4i18s2,1
996.1060966975529,25.0,base_r3s4i18s2,1
996.1677522271161,24.0,base_r3s4i18s2,1
996.1677522271161,25.0,base_r3s4i18s2,1
996.7897514670138,24.0,base_r3s4i18s2,1
996.7897514670138,25.0,base_r3s4i18s2,1
997.3288811611077,24.0,base_r3s4i18s2,1
997.3288811611077,25.0,base_r3s4i18s2,1
998.2082555669468,24.0,base_r3s4i18s2,1
998.2082555669468,25.0,base_r3s4i18s2,1
998.2117041898229,24.0,base_r3s4i18s2,1
998.2117041898229,25.0,base_r3s4i18s2,1
998.5731490012338,24.0,base_r3s4i18s2,1
998.5731490012338,25.0,base_r3s4i18s2,1
998.6959117026485,24.0,base_r3s4i18s2,1
998.6959117026485,25.0,base_r3s4i18s2,1
999.3868273198964,24.0,base_r3s4i18s2,1
999.3868273198964,25.0,base_r3s4i18s2,1
1000.2490793405168,24.0,base_r3s4i18s2,1
1000.2490793405168,25.0,base_r3s4i18s2,1
1000.27655896249,24.0,base_r3s4i18s2,1
1000.27655896249,25.0,base_r3s4i18s2,1
1000.6845458158916,24.0,base_r3s4i18s2,1
1000.6845458158916,25.0,base_r3s4i18s2,1
1001.8805180080963,24.0,base_r3s4i18s2,1
1001.8805180080963,25.0,base_r3s4i18s2,1
1003.02662142317,24.0,base_r3s4i18s2,1
1003.02662142317,25.0,base_r3s4i18s2,1
1004.0309225702581,24.0,base_r3s4i18s2,1
1004.0309225702581,25.0,base_r3s4i18s2,1
1004.1221375028481,24.0,base_r3s4i18s2,1
1004.1221375028481,25.0,base_r3s4i18s2,1
1004.2480688294517,24.0,base_r3s4i18s2,1
1004.2480688294517,25.0,base_r3s4i18s2,1
1005.0140769764895,24.0,base_r3s4i18s2,1
1005.0140769764895,25.0,base_r3s4i18s2,1
1005.4550491625091,24.0,base_r3s4i18s2,1
1005.4550491625091,25.0,base_r3s4i18s2,1
1005.460808527298,24.0,base_r3s4i18s2,1
1005.460808527298,25.0,base_r3s4i18s2,1
1006.6240225295388,24.0,base_r3s4i18s2,1
1006.6240225295388,25.0,base_r3s4i18s2,1
1007.8683995968628,24.0,base_r3s4i18s2,1
1007.8683995968628,25.0,base_r3s4i18s2,1
1008.0992109796448,24.0,base_r3s4i18s2,1
1008.0992109796448,25.0,base_r3s4i18s2,1
1010.3220101884169,24.0,base_r3s4i18s2,1
1010.3220101884169,25.0,base_r3s4i18s2,1
1010.3592426573232,24.0,base_r3s4i18s2,1
1010.3592426573232,25.0,base_r3s4i18s2,1
1011.0111497405687,24.0,base_r3s4i18s2,1
1011.0111497405687,25.0,base_r3s4i18s2,1
1011.5793373300627,24.0,base_r3s4i18s2,1
1011.5793373300627,25.0,base_r3s4i18s2,1
1011.6770876219801,24.0,base_r3s4i18s2,1
1011.6770876219801,25.0,base_r3s4i18s2,1
1011.7299562733896,24.0,base_r3s4i18s2,1
1011.7299562733896,25.0,base_r3s4i18s2,1
1013.3316968294666,24.0,base_r3s4i18s2,1
1013.3316968294666,25.0,base_r3s4i18s2,1
1013.7123055982354,24.0,base_r3s4i18s2,1
1013.7123055982354,25.0,base_r3s4i18s2,1
1014.2121360664095,24.0,base_r3s4i18s2,1
